"pos_age","line_age","pos","pop","line","age","lat","region","percent_N","percent_C","C_N"
"235_mature","Hwy 27_1_mature",235,"Hwy 27",1,"mature",26.537067,"subtropical",1.1411,39.4204,34.54596442
"236_mature","Hwy 27_1_mature",236,"Hwy 27",1,"mature",26.537067,"subtropical",0.8007,33.5855,41.94517297
"237_mature","Hwy 27_3_mature",237,"Hwy 27",3,"mature",26.537067,"subtropical",2.3735,61.671,25.98314725
"238_mature","Hwy 27_3_mature",238,"Hwy 27",3,"mature",26.537067,"subtropical",1.2864,34.5326,26.84437189
"239_mature","Hwy 27_3_mature",239,"Hwy 27",3,"mature",26.537067,"subtropical",1.3498,40.4766,29.9871092
"240_mature","Hwy 27_8_mature",240,"Hwy 27",8,"mature",26.537067,"subtropical",1.109,37.0626,33.41983769
"241_mature","Hwy 27_8_mature",241,"Hwy 27",8,"mature",26.537067,"subtropical",1.0387,33.7036,32.44786753
"242_mature","Hwy 27_8_mature",242,"Hwy 27",8,"mature",26.537067,"subtropical",0.947,33.1674,35.02365364
"243_young","Hwy 27_1_young",243,"Hwy 27",1,"young",26.537067,"subtropical",1.856,38.283,20.62661638
"244_young","Hwy 27_2_young",244,"Hwy 27",2,"young",26.537067,"subtropical",1.907,38.445,20.15993707
"245_young","Hwy 27_2_young",245,"Hwy 27",2,"young",26.537067,"subtropical",2.088,39.705,19.0158046
"246_young","Hwy 27_2_young",246,"Hwy 27",2,"young",26.537067,"subtropical",2.019,40.344,19.98216939
"247_young","Hwy 27_3_young",247,"Hwy 27",3,"young",26.537067,"subtropical",1.858,37.648,20.26264801
"248_young","Hwy 27_6_young",248,"Hwy 27",6,"young",26.537067,"subtropical",2.043,36.068,17.65442976
"249_young","Hwy 27_6_young",249,"Hwy 27",6,"young",26.537067,"subtropical",2.644,39.561,14.96255673
"250_young","Hwy 27_6_young",250,"Hwy 27",6,"young",26.537067,"subtropical",1.811,39.431,21.77305356
"251_young","Hwy 27_8_young",251,"Hwy 27",8,"young",26.537067,"subtropical",1.539,39.465,25.64327485
"252_young","Hwy 27_8_young",252,"Hwy 27",8,"young",26.537067,"subtropical",2.241,37.833,16.88219545
"253_young","Hwy 27_1_young",253,"Hwy 27",1,"young",26.537067,"subtropical",1.7427,40.1611,23.04533196
"254_young","Hwy 27_1_young",254,"Hwy 27",1,"young",26.537067,"subtropical",1.7788,37.2519,20.94215201
"255_young","Hwy 27_1_young",255,"Hwy 27",1,"young",26.537067,"subtropical",1.4324,37.2977,26.03860653
"256_young","Hwy 27_3_young",256,"Hwy 27",3,"young",26.537067,"subtropical",2.0081,40.6903,20.26308451
"257_young","Hwy 27_3_young",257,"Hwy 27",3,"young",26.537067,"subtropical",2.2131,42.3154,19.12041932
"258_young","Hwy 27_3_young",258,"Hwy 27",3,"young",26.537067,"subtropical",2.5209,45.7138,18.13392043
