"pos_age","line_age","pos","pop","line","age","lat","region","log.abund","richness","diversity","NMDS1","NMDS2"
"23_young","MacArthur_22_young",23,"MacArthur",22,"young",27.177583,"subtropical",10.8801642078738,870,4.71337657319285,0.435374086555454,0.240640371528494
"119_mature","MacArthur_5_mature",119,"MacArthur",5,"mature",27.177583,"subtropical",9.42549283813819,689,4.82860058406768,0.0367530617651677,0.334367835969851
"119_young","MacArthur_5_young",119,"MacArthur",5,"young",27.177583,"subtropical",10.9276537266927,724,4.91104991172907,0.105953516267396,0.417665258804495
"46_mature","McPhee_1_mature",46,"McPhee",1,"mature",40.971333,"north temperate",10.9752885612873,971,4.26918966542042,-0.0540677366128007,-0.0665332586238749
"46_young","McPhee_1_young",46,"McPhee",1,"young",40.971333,"north temperate",11.4861509230263,745,4.49653608991416,-0.355193017298412,0.254127027297312
"12_mature","McPhee_2_mature",12,"McPhee",2,"mature",40.971333,"north temperate",10.1533375902554,923,4.55162151403193,-0.143493295016778,-0.237669969389157
"12_young","McPhee_2_young",12,"McPhee",2,"young",40.971333,"north temperate",11.5278819455829,894,4.66850427901157,-0.208355338541413,0.00987648655211922
"36_mature","McPhee_6_mature",36,"McPhee",6,"mature",40.971333,"north temperate",10.179527086844,861,4.71838897186881,-0.0916633455667212,-0.107475774960292
"36_young","McPhee_6_young",36,"McPhee",6,"young",40.971333,"north temperate",11.1790162374739,935,4.45447619696777,-0.156644355136892,-0.0836310086771836
"1_mature","McPhee_7_mature",1,"McPhee",7,"mature",40.971333,"north temperate",10.2266439747193,861,4.15290284351185,-0.0499916968879464,-0.110254394306126
"1_young","McPhee_7_young",1,"McPhee",7,"young",40.971333,"north temperate",11.411540802105,680,4.49022817639096,-0.251213993050983,0.218741232338085
"133_mature","McPhee_8_mature",133,"McPhee",8,"mature",40.971333,"north temperate",10.2048427572428,799,4.45768054104094,-0.139696201273527,0.0919544849746307
"133_young","McPhee_8_young",133,"McPhee",8,"young",40.971333,"north temperate",11.3233685462964,627,4.2026259205061,-0.280910601466239,0.333134998805082
"122_mature","OCM_10_mature",122,"OCM",10,"mature",32.34554,"temperate",10.5189190507159,1106,4.14548866400299,-0.0816712612857761,-0.433297060014712
"122_young","OCM_10_young",122,"OCM",10,"young",32.34554,"temperate",11.7296477906685,881,4.56921109857629,-0.26342020725479,-0.0703980198643381
"6_mature","OCM_16_mature",6,"OCM",16,"mature",32.34554,"temperate",10.6315620318197,951,4.33842724731144,-0.0753031497273473,-0.206344439061617
"6_young","OCM_16_young",6,"OCM",16,"young",32.34554,"temperate",11.3166741283276,930,4.36389437309681,-0.0750574747346251,-0.119614635087278
"121_mature","OCM_17_mature",121,"OCM",17,"mature",32.34554,"temperate",10.5959798525824,1114,4.17135006841721,-0.0734798142390948,-0.384385029114054
"121_young","OCM_17_young",121,"OCM",17,"young",32.34554,"temperate",11.0557893437301,782,4.60182689008331,-0.359393133576117,0.0685863339632821
"85_mature","OCM_18_mature",85,"OCM",18,"mature",32.34554,"temperate",10.6540874560308,933,3.901378095538,-0.212990386558148,-0.328277149072819
"85_young","OCM_18_young",85,"OCM",18,"young",32.34554,"temperate",12.2967781846612,835,4.4421546988653,-0.285275767653708,0.0518316158723727
"155_mature","OCM_5_mature",155,"OCM",5,"mature",32.34554,"temperate",10.4955496704307,932,3.99778961384805,-0.177225208836141,-0.315700263176768
"155_young","OCM_5_young",155,"OCM",5,"young",32.34554,"temperate",11.9264213732969,758,3.87572446845079,-0.333530917862591,0.0574444246765276
"134_mature","Tiri_1_mature",134,"Tiri",1,"mature",10.41549,"tropical",9.58938752233917,845,4.35058463693937,0.316838029976262,-0.253702395290247
"134_young","Tiri_1_young",134,"Tiri",1,"young",10.41549,"tropical",10.7203645781934,974,4.80653699400471,0.698633687491064,0.246014881406092
"107_mature","Tiri_12_mature",107,"Tiri",12,"mature",10.41549,"tropical",9.93722332245131,798,4.75912726141517,0.11158104499014,0.13038386124008
"107_young","Tiri_12_young",107,"Tiri",12,"young",10.41549,"tropical",10.8542733366193,857,4.6601759892003,0.665364533587526,0.270958535131247
"153_mature","Tiri_16_mature",153,"Tiri",16,"mature",10.41549,"tropical",10.2153336349181,838,4.64281944727664,0.232735049900834,-0.0575877646092525
"153_young","Tiri_16_young",153,"Tiri",16,"young",10.41549,"tropical",10.0007012784559,858,4.54700985692386,0.681537266424014,-0.0562962936410403
"27_mature","Tiri_19_mature",27,"Tiri",19,"mature",10.41549,"tropical",9.50661123780441,813,4.90021874353763,0.244417548694963,0.232507571322224
"27_young","Tiri_19_young",27,"Tiri",19,"young",10.41549,"tropical",10.2864500873308,954,4.58589812900126,0.737799734388036,0.143127525549831
"116_mature","Tiri_2_mature",116,"Tiri",2,"mature",10.41549,"tropical",9.7879255238828,869,4.79655963025998,0.180665381082237,0.00599404706800079
"116_young","Tiri_2_young",116,"Tiri",2,"young",10.41549,"tropical",10.565918856233,1049,4.51456100613705,0.800244849811276,0.014904954744842
"18_mature","Tiri_5_mature",18,"Tiri",5,"mature",10.41549,"tropical",9.63757032106639,826,4.76144077434494,0.335272549002876,-0.0988703342045763
"18_young","Tiri_5_young",18,"Tiri",5,"young",10.41549,"tropical",10.4758804286491,1016,4.6886613674116,0.771573884010376,0.06141056691629
"28_mature","TT_10_mature",28,"TT",10,"mature",30.673889,"temperate",10.1696464799875,1211,4.59357885873604,-0.043886436980249,-0.386722510346363
"28_young","TT_10_young",28,"TT",10,"young",30.673889,"temperate",11.1185114736006,1151,4.6316314319267,0.0342102938003658,-0.214436710291319
"39_mature","TT_25_mature",39,"TT",25,"mature",30.673889,"temperate",10.0161470351037,754,4.62537601901054,-0.18751822812928,-0.104922051833156
"39_young","TT_25_young",39,"TT",25,"young",30.673889,"temperate",11.0075906960459,804,4.70839488914662,-0.12769488808567,0.0454542607179631
"126_mature","TT_5_mature",126,"TT",5,"mature",30.673889,"temperate",10.557599261816,962,4.52619075553994,-0.0918397239287055,-0.144266614840456
"126_young","TT_5_young",126,"TT",5,"young",30.673889,"temperate",11.6566092242279,641,4.53565713461513,-0.425679081690536,0.290217536154038
"150_mature","TT_7_mature",150,"TT",7,"mature",30.673889,"temperate",10.4661501824447,878,4.49364388941285,-0.191824779855017,-0.217611329899637
"150_young","TT_7_young",150,"TT",7,"young",30.673889,"temperate",10.5943703399175,712,4.69795634464906,-0.30093565111317,0.205994177033203
"14_mature","TT_9_mature",14,"TT",9,"mature",30.673889,"temperate",10.6283702406453,989,4.24567505697359,-0.0684857324697681,-0.218157174896787
"14_young","TT_9_young",14,"TT",9,"young",30.673889,"temperate",11.4196668375785,983,4.59636114258375,-0.0809284183594562,-0.00519034725257908
"159_mature","Whitehall_16_mature",159,"Whitehall",16,"mature",33.895767,"temperate",10.7174117818149,973,4.16093909321295,-0.183720846990771,-0.308586935671162
"159_young","Whitehall_16_young",159,"Whitehall",16,"young",33.895767,"temperate",11.144495728819,710,3.85394180024297,-0.394145719253241,0.169285359913174
"108_mature","Whitehall_17_mature",108,"Whitehall",17,"mature",33.895767,"temperate",10.2558382359526,961,4.47088429248193,-0.15758891591689,-0.29680946510487
"108_young","Whitehall_17_young",108,"Whitehall",17,"young",33.895767,"temperate",10.7068596076136,797,4.37477357358015,-0.283992157670576,0.0634730399803812
"5_mature","Whitehall_18_mature",5,"Whitehall",18,"mature",33.895767,"temperate",10.3873044198318,932,3.9343760209181,-0.106221536316253,-0.465153518532623
"5_young","Whitehall_18_young",5,"Whitehall",18,"young",33.895767,"temperate",10.9817897699957,770,4.49915179434784,-0.299670502812081,0.142882048879997
"49_mature","Whitehall_2_mature",49,"Whitehall",2,"mature",33.895767,"temperate",10.1691609299829,897,4.40303226268006,-0.0972871199237433,-0.235233892975212
"49_young","Whitehall_2_young",49,"Whitehall",2,"young",33.895767,"temperate",10.634627419035,706,4.28232230355407,-0.400888208273492,0.119732425061059
"123_mature","Whitehall_3_mature",123,"Whitehall",3,"mature",33.895767,"temperate",10.426848259881,947,4.56959436378373,-0.104773094981005,-0.0869256928004758
"123_young","Whitehall_3_young",123,"Whitehall",3,"young",33.895767,"temperate",12.0190539038656,935,4.47022398919193,-0.252815299543502,-0.0797166310894832
"44_mature","With_42_mature",44,"With",42,"mature",28.60387,"subtropical",9.64654011166463,838,4.66304239787816,0.0587410136743209,-0.086635519070146
"44_young","With_42_young",44,"With",42,"young",28.60387,"subtropical",11.1687109125892,718,4.43522035080239,-0.129934299036938,0.278637172159321
"2_mature","With_43_mature",2,"With",43,"mature",28.60387,"subtropical",9.69713804460402,908,4.82645457289088,0.132784085951366,-0.0146346610795036
"2_young","With_43_young",2,"With",43,"young",28.60387,"subtropical",10.7824812095986,974,4.77657335861877,0.434658505024721,0.132064435807492
"102_mature","With_46_mature",102,"With",46,"mature",28.60387,"subtropical",9.97400930933693,979,4.49307112243806,0.055105930539277,-0.14730954915498
"102_young","With_46_young",102,"With",46,"young",28.60387,"subtropical",10.9859697583871,961,4.9519143198587,0.0673055815216416,0.110783710534132
"87_mature","With_47_mature",87,"With",47,"mature",28.60387,"subtropical",9.77006050332256,870,4.5411931552717,0.217906574131835,-0.198699045478469
"87_young","With_47_young",87,"With",47,"young",28.60387,"subtropical",11.0162016378127,761,4.40555306450858,0.0680554056688615,0.299385041188618
"47_mature","With_48_mature",47,"With",48,"mature",28.60387,"subtropical",9.66777093671361,770,4.81417718390574,0.0255085961307449,0.180342277953641
"47_young","With_48_young",47,"With",48,"young",28.60387,"subtropical",10.9342679545484,631,4.8455272938404,-0.0279236197241947,0.466788832642628
